USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.2 103276  9072 ?        Ss   01:34   0:02 /sbin/init auto noprompt
lkq123      5525  0.0  0.1 231800  4164 ?        Sl   02:28   0:00 /usr/libexec/gsd-disk-utility-notify
lkq123      5534  0.0  0.5 302256 22096 ?        Sl   02:28   0:02 /usr/bin/vmtoolsd -n vmusr --blockFd 3
lkq123      5545  0.0  0.2 350824 11496 ?        Sl   02:28   0:00 /usr/libexec/gsd-printer
lkq123      5554  0.0  0.5 722828 23536 ?        Sl   02:28   0:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
lkq123      5568  0.0  0.1 175180  7624 ?        Sl   02:28   0:00 /usr/libexec/ibus-engine-simple
lkq123      5598  0.3  0.9 1057036 37488 ?       Sl   02:28   0:09 /snap/snap-store/558/usr/bin/snap-store --gapplication-service
lkq123      5621  0.0  0.1 539888  5716 ?        Ssl  02:28   0:00 /usr/libexec/xdg-document-portal
lkq123      5702  0.0  0.2 545124  8692 ?        Ssl  02:28   0:00 /usr/libexec/xdg-desktop-portal
lkq123      5706  0.0  0.5 504892 23372 ?        Ssl  02:28   0:00 /usr/libexec/xdg-desktop-portal-gtk
lkq123      6260  0.0  0.4 273596 16220 ?        Sl   02:29   0:00 /usr/lib/ibus/ibus-engine-libpinyin --ibus
lkq123      6414  0.0  0.1 170920  5648 ?        Ssl  02:29   0:00 /usr/libexec/gvfsd-metadata
lkq123      6417  0.0  0.5 431204 23000 ?        Sl   02:29   0:00 update-notifier
root        7921  0.0  0.0      0     0 ?        S<   02:44   0:00 [loop4]
lkq123      8191  0.0  0.1 288452  7532 ?        Sl   02:46   0:00 /usr/libexec/gvfsd-http --spawner :1.7 /org/gtk/gvfs/exec_spaw/1
root        9233  0.1  0.0      0     0 ?        I    02:53   0:01 [kworker/1:0-mpt_poll_0]
root        9399  0.5  0.0      0     0 ?        I    02:55   0:05 [kworker/u256:2-events_power_efficient]
lkq123      9797  0.1  1.3 1013536 53788 ?       Ssl  03:00   0:01 /usr/libexec/gnome-terminal-server
lkq123      9809  0.0  0.1  19252  4708 pts/0    Ss+  03:00   0:00 bash
root        9890  0.0  0.0      0     0 ?        I    03:01   0:00 [kworker/0:0-rcu_par_gp]
root        9923  0.0  0.0      0     0 ?        I    03:01   0:00 [kworker/1:1-cgroup_destroy]
root        9999  0.0  0.0      0     0 ?        I    03:03   0:00 [kworker/0:2-events]
lkq123     10336  0.6  2.0 1514896 82056 ?       Sl   03:04   0:02 /usr/bin/nautilus --gapplication-service
lkq123     10678  0.7  3.8 42670436 155320 ?     SLsl 03:05   0:03 /snap/code/88/usr/share/code/code --no-sandbox --force-user-env --unity-launch
lkq123     10680  0.0  1.1 372052 45392 ?        S    03:05   0:00 /snap/code/88/usr/share/code/code --type=zygote --no-zygote-sandbox --no-sandbox
